ID,Price
0,23529.30495478106
1,27372.765265043883
2,18230.9731347987
3,10108.549827063533
4,24555.105405115195
5,22090.339485829456
6,21269.422529453765
7,22478.54489081543
8,36095.18606223987
9,17534.459325571475
10,24371.63330179264
11,18263.169733410024
12,27284.730670981004
13,24323.281576957183
14,22920.632668156046
15,10131.799487388935
16,20625.137167714423
17,26707.98608226006
18,21155.897300972578
19,19908.656072703576
20,18073.333555960868
21,23054.385595335312
22,24650.055246749238
23,19109.991655106518
24,26216.027424933658
25,15715.181962650357
26,25365.70844829606
27,26398.18327685659
28,31198.42720979297
29,28177.587321362724
30,17458.897591790563
31,31992.656479791913
32,20331.231732463886
33,16960.900841024082
34,20170.64845782546
35,19225.12588926682
36,18190.387939337852
37,38117.581299326645
38,38547.10178057109
39,30806.463305721427
40,29972.279070210792
41,17534.82165599543
42,23639.693519742556
43,30653.21725067163
44,37888.560832236704
45,28212.322943630617
46,19011.656677948522
47,14495.716088109071
48,24333.34898161508
49,23530.915577699896
50,17053.832854570646
51,28249.67984843246
52,14561.174106328912
53,16534.278848392718
54,31345.53607551578
55,12704.2321313082
56,11778.139396852748
57,14174.357166864018
58,18766.004908528826
59,24521.352529643696
60,9746.85449162619
61,18351.682728196865
62,28380.97470067345
63,14533.461394466955
64,10302.183440857907
65,29936.633070668056
66,22223.61860105231
67,15334.579619067812
68,18394.904122429427
69,29937.50502292805
70,19282.075423906856
71,32432.705901512403
72,34019.23016472577
73,33358.1002085915
74,22419.315428207432
75,15362.80861160301
76,11592.670480880255
77,12892.622960116223
78,12667.204679553746
79,15286.375929129716
80,24954.89074023847
81,13911.367540328338
82,23730.390609005655
83,17621.38041969782
84,16899.32654737864
85,19451.08748191029
86,32682.66830809712
87,21776.19992063616
88,12558.000196203619
89,18404.454418359837
90,34735.45716658881
91,29953.626629863415
92,13732.75346732729
93,26853.23778276158
94,14660.210956847899
95,19853.869397199778
96,20001.84954942238
97,12618.069135183305
98,22622.884056631014
99,16409.522033826634
100,19242.927166957496
101,9816.65656589183
102,21174.491047483985
103,17725.271626450296
104,18892.54266125141
105,29952.3811881663
106,18089.538340148723
107,25159.739551083258
108,39605.57462928275
109,21921.920163323102
110,21082.3032098175
111,10098.89560423118
112,18342.04365967871
113,15494.98515826218
114,17349.9874493885
115,17343.948482421532
116,23950.778893021925
117,16558.808634157722
118,12376.668413060645
119,12619.937909026954
120,10099.309844955853
121,26745.991685343102
122,18773.2999681895
123,24802.943556197366
124,11581.875054640997
125,23567.030907205462
126,25777.045867620207
127,24213.18208633815
128,29990.197533703045
129,11781.841843783539
130,21155.695717433147
131,19962.737742896716
132,30333.800179838247
133,16070.65227884693
134,18129.844766531853
135,35849.0964184246
136,16743.04687896655
137,32849.54679710952
138,16188.86366924972
139,27102.265574754394
140,12815.498833888993
141,33921.50905782943
142,26168.639521166617
143,39000.99452241891
144,12787.04284239731
145,26185.32748508032
146,16576.33256262557
147,13932.190900214784
148,29467.721600743378
149,30220.690532671484
150,28317.6000155039
151,21781.82609972569
152,17386.531498325465
153,11506.799311647424
154,22349.947998236694
155,20954.096452943897
156,17984.233298550127
157,28157.631688921716
158,10337.609363387477
159,18932.96098280102
160,15302.888689578045
161,17361.104692914938
162,17788.539351177234
163,14410.502875585096
164,22321.167890668137
165,18297.421733895833
166,19709.378561395737
167,25950.25949836664
168,26642.50860469575
